rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_with_next_rental_in_minutes
560720,404020,mobile,ended,-14.0,,,
560884,410068,mobile,ended,-41.0,,,
560886,375755,mobile,ended,84.0,,,
561054,387845,mobile,ended,-18.0,,,
561083,334859,mobile,ended,65.0,,,
561111,337217,mobile,ended,10.0,,,660.0
561157,373726,mobile,ended,-14.0,,,
561269,389467,mobile,ended,-21.0,,,
561285,392479,mobile,ended,-40.0,,,
561366,305917,mobile,ended,-104.0,,,
561368,249274,connect,ended,-3.0,558711.0,30.0,
561383,411754,connect,ended,173.0,,,
561408,310444,connect,ended,-54.0,545475.0,360.0,570.0
561450,192179,connect,ended,7.0,541144.0,540.0,
561596,364996,mobile,ended,108.0,,,
561706,395613,mobile,ended,-38.0,,,
561726,409636,mobile,ended,-208.0,,,
562090,404542,mobile,ended,-35.0,,,
562173,394024,mobile,ended,73.0,,,0.0
562174,381499,connect,ended,73.0,,,0.0
562264,408060,mobile,ended,129.0,,,
562291,404133,connect,ended,-709.0,,,
562409,410088,mobile,ended,-30.0,,,
562501,242546,mobile,ended,15.0,,,
562669,393442,mobile,ended,30.0,,,
562807,310571,mobile,ended,-14.0,,,300.0
563003,310828,mobile,ended,-444.0,,,
563108,339515,mobile,ended,33.0,,,
563157,371572,connect,ended,-83.0,,,
563509,349894,connect,ended,-432.0,,,60.0
563519,225602,mobile,ended,-16.0,,,
563552,241021,connect,ended,25.0,567278.0,60.0,60.0
563933,347208,connect,ended,27.0,,,
563998,409663,mobile,ended,-47.0,,,
564045,381123,mobile,ended,99.0,554558.0,660.0,
564094,179429,mobile,ended,4.0,,,
564208,361262,mobile,ended,90.0,,,270.0
564414,195888,mobile,ended,20.0,564484.0,180.0,
564466,407869,mobile,ended,10.0,,,
564500,382884,mobile,ended,69.0,555024.0,420.0,
564538,332366,mobile,ended,335.0,,,
564642,340833,mobile,ended,-20.0,,,
564706,384747,mobile,ended,403.0,,,
564785,399718,mobile,ended,1.0,,,
564844,297962,connect,ended,-167.0,,,
564955,389994,mobile,ended,136.0,,,
564992,366410,mobile,ended,62.0,,,
565108,354331,mobile,ended,-55.0,,,
565143,381435,mobile,ended,-100.0,,,
565205,406475,mobile,ended,-80.0,,,
565340,415170,mobile,ended,41.0,,,
565494,368210,mobile,ended,45.0,,,
565512,376391,mobile,ended,436.0,,,
565540,281518,mobile,ended,-43.0,,,
505091,213807,connect,ended,-155.0,,,
505567,308565,mobile,ended,-3.0,,,
505859,268874,mobile,ended,42.0,,,
506321,393781,connect,ended,-1.0,,,
506970,226932,mobile,ended,-10.0,,,
507103,393584,mobile,ended,15.0,,,
507112,221297,mobile,ended,7.0,,,
509566,372647,mobile,ended,181.0,,,
509688,339975,mobile,ended,14.0,,,
511872,386539,mobile,ended,7.0,,,
512237,382279,mobile,ended,-10.0,,,
514673,402194,mobile,ended,-52.0,,,570.0
516244,349131,mobile,ended,-34.0,,,
516585,389785,connect,ended,162.0,,,
519260,359719,mobile,ended,946.0,,,
519450,358846,mobile,ended,-12.0,,,
519451,251815,connect,ended,-76.0,,,
520147,392147,mobile,ended,1.0,536236.0,390.0,
520580,168079,mobile,ended,-20.0,,,
520711,402078,mobile,ended,-17.0,,,
520750,337219,connect,ended,-154.0,,,
521526,282208,mobile,ended,-53.0,,,240.0
522476,376514,mobile,ended,300.0,,,
523920,363431,mobile,ended,-25.0,,,
524487,380866,mobile,ended,-15.0,545830.0,120.0,
525175,280805,connect,ended,9.0,,,
525776,285846,mobile,ended,22.0,,,
527465,381512,mobile,ended,28.0,,,
527709,393442,mobile,ended,106.0,,,
528782,370513,mobile,ended,3.0,,,30.0
529239,354515,mobile,ended,10.0,565896.0,360.0,
529492,207715,mobile,ended,-169.0,,,
529693,281955,mobile,ended,-67.0,,,
530325,356434,mobile,ended,-101.0,,,
530357,262206,mobile,ended,14.0,,,
530971,241568,mobile,ended,3371.0,,,
531233,276202,mobile,ended,-19.0,,,
531451,378003,mobile,ended,0.0,,,
532171,368448,mobile,ended,9.0,,,
532248,332611,mobile,ended,1110.0,,,
532393,406388,mobile,ended,-54.0,,,
532695,320824,connect,ended,0.0,,,120.0
533129,405683,mobile,ended,-138.0,,,
533326,301632,mobile,ended,38.0,,,
533720,385295,mobile,ended,6.0,,,
565543,364882,connect,ended,82.0,,,
565548,373925,mobile,ended,-10.0,,,
565581,374698,mobile,ended,-16.0,,,
565675,318715,mobile,ended,107.0,,,
565927,173376,mobile,ended,49.0,,,
566027,414498,mobile,ended,32.0,,,
566123,404483,mobile,ended,142.0,,,
566273,375908,mobile,ended,44.0,,,
566292,414708,mobile,ended,48.0,,,
566331,328506,mobile,ended,-97.0,,,480.0
566385,211860,connect,ended,58.0,,,
566551,334671,mobile,ended,25.0,,,
566661,390467,connect,ended,-651.0,569297.0,570.0,
566682,293785,mobile,ended,66.0,,,
566691,374921,mobile,ended,243.0,,,
566709,313772,connect,ended,-73.0,,,
566762,407907,mobile,ended,16.0,,,
566797,386498,mobile,ended,349.0,,,
566908,164960,connect,ended,-44.0,,,
566921,298388,mobile,ended,28.0,,,
567120,415953,mobile,ended,27.0,567178.0,150.0,
567208,268798,mobile,ended,41.0,,,
567278,241021,connect,ended,-425.0,563925.0,240.0,60.0
567365,279764,mobile,ended,-35.0,,,
567423,402980,connect,ended,-125.0,,,
567424,414349,mobile,ended,59.0,,,
567433,401968,mobile,ended,100.0,,,
567442,410939,connect,ended,-353.0,,,240.0
567446,366025,mobile,ended,-29.0,,,
567610,399205,mobile,ended,22.0,,,
567636,376840,connect,ended,101.0,564959.0,0.0,
567654,358772,connect,ended,-90.0,,,
567773,314572,mobile,ended,21.0,,,
567774,396250,mobile,ended,4265.0,,,
567777,296295,mobile,ended,30.0,,,
568168,345738,mobile,ended,58.0,,,
568206,412469,mobile,ended,-12.0,,,
568817,314605,mobile,ended,43.0,565775.0,360.0,
569081,291932,connect,ended,-19.0,,,
569133,415843,mobile,ended,90.0,,,
569176,410396,mobile,ended,67.0,,,
569498,402528,connect,ended,-173.0,562527.0,630.0,
570153,159536,mobile,ended,-685.0,,,
570186,372609,mobile,ended,76.0,,,
570350,365926,connect,ended,-55.0,570337.0,60.0,
570406,293992,mobile,ended,-81.0,,,
570525,304566,mobile,ended,14.0,,,
570819,353425,connect,ended,-17.0,573393.0,120.0,
571139,347208,connect,ended,-90.0,,,180.0
505457,368083,mobile,ended,21.0,,,
506876,367382,mobile,ended,12.0,,,
508843,398697,mobile,ended,1101.0,,,
508971,232442,mobile,ended,-9.0,,,
510583,380867,mobile,ended,-1.0,,,
511106,377746,mobile,ended,-15.0,,,
511960,216796,mobile,ended,28.0,,,
512695,361217,mobile,ended,-26.0,,,
512958,305669,mobile,ended,-24.0,,,
513466,331681,mobile,ended,110.0,,,
514418,364237,mobile,ended,1360.0,,,
515482,277553,mobile,ended,42.0,,,
516780,274943,mobile,ended,-238.0,,,
519413,397599,mobile,ended,89.0,,,
520615,265239,connect,ended,-22.0,,,0.0
521364,257207,mobile,ended,694.0,,,
522507,390927,connect,ended,183.0,523328.0,510.0,
522667,214635,connect,ended,119.0,,,180.0
524517,351304,mobile,ended,-70.0,,,
525092,310644,mobile,ended,22.0,,,
526071,404493,mobile,ended,42.0,,,
526089,369713,connect,ended,-73.0,,,
526147,298455,mobile,ended,-65.0,,,
526232,377364,mobile,ended,6.0,,,
526562,403863,mobile,ended,-746.0,,,
526847,371520,mobile,ended,9.0,,,
527537,404496,mobile,ended,-5.0,,,
527950,348901,mobile,ended,-191.0,,,
527981,358978,connect,ended,-60.0,541898.0,210.0,
529128,382700,mobile,ended,6.0,506728.0,0.0,
529233,399528,connect,ended,-53.0,529252.0,480.0,
529252,399528,connect,ended,-104.0,,,480.0
529465,248159,mobile,ended,1490.0,,,
529768,339442,mobile,ended,16.0,,,
529809,285241,mobile,ended,7.0,,,
530261,280805,connect,ended,28.0,,,60.0
530274,204019,mobile,ended,14.0,,,
530372,407199,mobile,ended,-10.0,,,
531442,398877,mobile,ended,-1.0,,,
531511,296967,connect,ended,-11.0,,,
531697,388490,mobile,ended,248.0,,,
532257,289901,connect,ended,-157.0,,,660.0
532328,259952,mobile,ended,-38.0,,,
532670,369634,mobile,ended,-95.0,,,
532787,226544,connect,ended,203.0,,,
571284,403149,mobile,ended,-33.0,,,
571549,370907,mobile,ended,-36.0,,,
572456,352663,mobile,ended,33.0,,,
572757,385861,mobile,ended,33.0,,,
572844,342154,connect,ended,26.0,,,
